freq,psd_x,psd_y,psd_z,psd_xyz
147.4,5.298e+04,1.742e+04,4.331e+04,1.137e+05
148.9,4.581e+04,1.456e+04,3.628e+04,9.665e+04
150.4,3.824e+04,1.192e+04,2.666e+04,7.683e+04
151.9,3.543e+04,1.100e+04,2.315e+04,6.958e+04
153.3,2.940e+04,9.874e+03,1.888e+04,5.815e+04
154.8,2.705e+04,8.543e+03,1.633e+04,5.192e+04
156.3,2.190e+04,7.583e+03,1.287e+04,4.235e+04
157.8,2.235e+04,7.227e+03,1.306e+04,4.263e+04
159.3,2.089e+04,7.207e+03,1.227e+04,4.036e+04
160.8,2.040e+04,7.457e+03,1.194e+04,3.980e+04
162.3,2.265e+04,7.219e+03,1.209e+04,4.197e+04
163.8,2.117e+04,7.397e+03,1.131e+04,3.988e+04
165.3,2.596e+04,9.068e+03,1.413e+04,4.916e+04
166.7,2.397e+04,7.991e+03,1.248e+04,4.445e+04
168.2,2.359e+04,8.698e+03,1.309e+04,4.538e+04
169.7,2.850e+04,9.543e+03,1.548e+04,5.353e+04
171.2,2.676e+04,9.682e+03,1.511e+04,5.155e+04
172.7,2.744e+04,1.019e+04,1.613e+04,5.377e+04
174.2,2.765e+04,1.003e+04,1.473e+04,5.242e+04
175.7,2.805e+04,1.097e+04,1.613e+04,5.514e+04
177.2,2.988e+04,1.181e+04,1.778e+04,5.947e+04
178.7,2.878e+04,1.174e+04,1.791e+04,5.843e+04
180.1,2.822e+04,1.250e+04,1.874e+04,5.945e+04
181.6,2.619e+04,1.103e+04,1.719e+04,5.441e+04
183.1,2.769e+04,1.309e+04,2.025e+04,6.103e+04
184.6,2.631e+04,1.384e+04,2.101e+04,6.116e+04
186.1,2.466e+04,1.275e+04,1.923e+04,5.664e+04
187.6,2.213e+04,1.323e+04,1.888e+04,5.423e+04
189.1,2.004e+04,1.349e+04,1.732e+04,5.085e+04
190.6,2.040e+04,1.497e+04,1.896e+04,5.432e+04
192.1,1.525e+04,1.259e+04,1.624e+04,4.409e+04
193.5,1.683e+04,1.701e+04,2.118e+04,5.502e+04
195.0,1.781e+04,1.990e+04,2.452e+04,6.223e+04
196.5,1.541e+04,1.685e+04,2.009e+04,5.235e+04
198.0,1.790e+04,3.014e+04,2.887e+04,7.692e+04
199.5,1.849e+04,3.085e+04,2.868e+04,7.803e+04
201.0,1.749e+04,2.631e+04,2.657e+04,7.037e+04
202.5,1.844e+04,2.864e+04,2.822e+04,7.530e+04
