freq,psd_x,psd_y,psd_z,psd_xyz
176.3,3.270e+03,6.522e+03,5.259e+03,1.505e+04
177.8,3.170e+03,7.814e+03,5.832e+03,1.682e+04
179.3,3.335e+03,7.278e+03,6.515e+03,1.713e+04
180.8,3.712e+03,7.404e+03,6.277e+03,1.739e+04
182.3,2.963e+03,6.177e+03,4.212e+03,1.335e+04
183.8,2.616e+03,4.980e+03,3.588e+03,1.118e+04
185.2,2.302e+03,5.299e+03,4.101e+03,1.170e+04
186.7,2.655e+03,5.778e+03,5.586e+03,1.402e+04
188.2,2.739e+03,9.022e+03,7.525e+03,1.929e+04
189.7,2.918e+03,1.196e+04,9.211e+03,2.409e+04
191.2,2.765e+03,8.790e+03,7.133e+03,1.869e+04
192.6,2.390e+03,1.120e+04,7.787e+03,2.138e+04
194.1,2.287e+03,1.057e+04,6.107e+03,1.897e+04
195.6,2.152e+03,9.303e+03,5.960e+03,1.742e+04
197.1,2.089e+03,1.258e+04,7.166e+03,2.183e+04
198.6,2.476e+03,2.411e+04,1.301e+04,3.960e+04
200.1,2.384e+03,2.277e+04,1.300e+04,3.815e+04
201.5,2.317e+03,2.626e+04,1.353e+04,4.211e+04
