freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.132e+01,3.985e+03,2.734e+02,4.300e+03
1.5,4.305e+01,2.556e+04,1.801e+02,2.579e+04
3.0,2.185e+01,8.463e+03,1.848e+01,8.503e+03
4.5,2.020e+01,3.271e+03,1.707e+01,3.308e+03
5.9,1.795e+01,2.680e+03,1.477e+01,2.712e+03
7.4,2.005e+01,2.400e+03,1.465e+01,2.434e+03
8.9,2.384e+01,3.319e+03,1.464e+01,3.357e+03
10.4,2.392e+01,4.148e+03,1.512e+01,4.187e+03
11.9,2.655e+01,6.230e+03,1.650e+01,6.273e+03
13.4,3.682e+01,9.350e+03,1.734e+01,9.404e+03
14.8,1.106e+02,1.705e+04,1.835e+01,1.718e+04
16.3,3.125e+02,1.984e+04,2.260e+01,2.017e+04
17.8,2.974e+02,8.784e+03,2.247e+01,9.104e+03
19.3,8.720e+01,5.752e+03,2.800e+01,5.867e+03
20.8,5.449e+01,8.527e+03,4.224e+01,8.623e+03
22.3,8.327e+01,1.288e+04,5.742e+01,1.302e+04
23.8,1.485e+02,1.706e+04,8.692e+01,1.729e+04
25.2,3.144e+02,2.417e+04,1.389e+02,2.463e+04
26.7,5.183e+02,3.375e+04,2.564e+02,3.453e+04
28.2,9.044e+02,5.283e+04,5.838e+02,5.432e+04
29.7,1.499e+03,7.893e+04,1.286e+03,8.171e+04
31.2,2.180e+03,1.208e+05,3.079e+03,1.261e+05
32.7,2.618e+03,1.867e+05,8.242e+03,1.975e+05
34.2,3.514e+03,3.084e+05,2.293e+04,3.348e+05
35.6,5.490e+03,4.651e+05,6.097e+04,5.316e+05
37.1,1.021e+04,6.425e+05,1.239e+05,7.767e+05
38.6,1.472e+04,8.449e+05,2.469e+05,1.106e+06
40.1,1.785e+04,8.721e+05,3.677e+05,1.258e+06
41.6,2.191e+04,7.428e+05,4.397e+05,1.204e+06
43.1,2.520e+04,5.810e+05,4.758e+05,1.082e+06
44.5,3.127e+04,4.755e+05,5.770e+05,1.084e+06
46.0,5.391e+04,3.769e+05,7.238e+05,1.155e+06
47.5,1.388e+05,3.142e+05,9.432e+05,1.396e+06
49.0,1.565e+05,2.132e+05,9.180e+05,1.288e+06
50.5,1.051e+05,1.291e+05,8.283e+05,1.063e+06
52.0,6.869e+04,8.001e+04,5.794e+05,7.281e+05
53.5,5.397e+04,4.979e+04,4.525e+05,5.562e+05
54.9,4.118e+04,3.116e+04,3.421e+05,4.144e+05
56.4,3.573e+04,1.705e+04,2.623e+05,3.151e+05
57.9,3.512e+04,1.230e+04,1.979e+05,2.454e+05
59.4,3.575e+04,9.845e+03,1.557e+05,2.013e+05
60.9,3.085e+04,1.018e+04,1.261e+05,1.671e+05
62.4,2.091e+04,1.242e+04,1.091e+05,1.424e+05
63.8,1.205e+04,1.546e+04,9.594e+04,1.234e+05
65.3,7.911e+03,1.677e+04,8.280e+04,1.075e+05
66.8,6.655e+03,1.777e+04,7.118e+04,9.561e+04
68.3,6.337e+03,1.887e+04,6.090e+04,8.610e+04
69.8,5.309e+03,2.241e+04,5.723e+04,8.495e+04
71.3,5.029e+03,2.676e+04,5.406e+04,8.585e+04
72.8,4.217e+03,3.427e+04,5.328e+04,9.177e+04
74.2,4.170e+03,3.920e+04,5.050e+04,9.387e+04
75.7,3.804e+03,4.355e+04,4.974e+04,9.709e+04
77.2,2.816e+03,4.911e+04,4.752e+04,9.945e+04
78.7,2.308e+03,5.715e+04,4.600e+04,1.055e+05
80.2,2.245e+03,6.290e+04,4.690e+04,1.120e+05
81.7,2.300e+03,6.798e+04,4.929e+04,1.196e+05
83.2,2.445e+03,7.204e+04,5.434e+04,1.288e+05
84.6,2.414e+03,7.842e+04,5.795e+04,1.388e+05
86.1,1.923e+03,8.627e+04,6.657e+04,1.548e+05
87.6,2.080e+03,9.617e+04,7.770e+04,1.759e+05
89.1,3.668e+03,9.385e+04,8.882e+04,1.863e+05
90.6,4.860e+03,8.715e+04,1.111e+05,2.031e+05
92.1,4.881e+03,1.020e+05,1.435e+05,2.504e+05
93.5,3.965e+03,1.056e+05,1.598e+05,2.693e+05
95.0,3.451e+03,8.697e+04,1.370e+05,2.274e+05
96.5,3.318e+03,5.776e+04,9.631e+04,1.574e+05
98.0,3.229e+03,3.743e+04,6.054e+04,1.012e+05
99.5,2.804e+03,2.434e+04,4.021e+04,6.736e+04
101.0,2.272e+03,1.714e+04,2.437e+04,4.378e+04
102.5,2.974e+03,1.544e+04,1.370e+04,3.211e+04
103.9,4.533e+03,1.599e+04,7.975e+03,2.850e+04
105.4,4.003e+03,1.661e+04,4.265e+03,2.488e+04
106.9,3.023e+03,1.610e+04,2.322e+03,2.145e+04
108.4,2.877e+03,1.142e+04,1.424e+03,1.572e+04
109.9,2.215e+03,8.196e+03,1.090e+03,1.150e+04
111.4,2.613e+03,5.905e+03,1.252e+03,9.771e+03
112.8,3.556e+03,4.235e+03,1.690e+03,9.481e+03
114.3,5.036e+03,3.660e+03,2.512e+03,1.121e+04
115.8,6.225e+03,3.448e+03,3.043e+03,1.272e+04
117.3,5.730e+03,3.315e+03,3.051e+03,1.210e+04
118.8,5.433e+03,3.654e+03,3.273e+03,1.236e+04
120.3,6.747e+03,3.766e+03,4.445e+03,1.496e+04
121.8,7.704e+03,4.334e+03,5.613e+03,1.765e+04
123.2,1.079e+04,5.970e+03,7.430e+03,2.419e+04
124.7,9.945e+03,6.265e+03,7.339e+03,2.355e+04
126.2,8.398e+03,6.792e+03,6.551e+03,2.174e+04
127.7,1.178e+04,8.712e+03,8.754e+03,2.925e+04
129.2,1.612e+04,9.972e+03,1.153e+04,3.762e+04
130.7,1.524e+04,1.038e+04,1.096e+04,3.658e+04
132.1,1.937e+04,1.175e+04,1.428e+04,4.540e+04
133.6,1.671e+04,1.054e+04,1.271e+04,3.996e+04
135.1,1.626e+04,6.565e+03,9.717e+03,3.254e+04
136.6,1.867e+04,4.289e+03,1.012e+04,3.308e+04
138.1,1.878e+04,3.934e+03,9.611e+03,3.232e+04
139.6,2.121e+04,3.890e+03,9.249e+03,3.435e+04
141.1,1.674e+04,2.661e+03,6.551e+03,2.595e+04
142.5,1.410e+04,2.648e+03,5.438e+03,2.219e+04
144.0,1.577e+04,2.582e+03,6.551e+03,2.490e+04
145.5,1.322e+04,2.422e+03,5.815e+03,2.145e+04
147.0,1.435e+04,3.651e+03,7.663e+03,2.567e+04
148.5,1.046e+04,3.732e+03,6.678e+03,2.087e+04
150.0,1.178e+04,5.369e+03,9.774e+03,2.693e+04
151.5,1.248e+04,5.971e+03,1.094e+04,2.939e+04
152.9,7.995e+03,4.798e+03,7.224e+03,2.002e+04
154.4,8.265e+03,5.255e+03,7.136e+03,2.066e+04
155.9,7.503e+03,5.213e+03,6.890e+03,1.961e+04
157.4,7.707e+03,6.392e+03,7.845e+03,2.194e+04
158.9,7.118e+03,6.331e+03,7.637e+03,2.109e+04
160.4,7.548e+03,7.196e+03,8.630e+03,2.337e+04
161.8,6.833e+03,6.228e+03,7.149e+03,2.021e+04
163.3,5.285e+03,5.548e+03,5.859e+03,1.669e+04
164.8,5.770e+03,5.745e+03,6.915e+03,1.843e+04
166.3,4.639e+03,4.225e+03,4.116e+03,1.298e+04
167.8,3.951e+03,4.078e+03,4.082e+03,1.211e+04
169.3,3.301e+03,4.589e+03,4.624e+03,1.251e+04
170.8,3.502e+03,4.071e+03,3.452e+03,1.102e+04
172.2,4.455e+03,7.127e+03,7.382e+03,1.896e+04
173.7,2.978e+03,5.610e+03,4.599e+03,1.319e+04
175.2,3.548e+03,5.340e+03,5.308e+03,1.420e+04
176.7,4.020e+03,5.748e+03,5.980e+03,1.575e+04
178.2,2.741e+03,4.444e+03,3.478e+03,1.066e+04
179.7,3.347e+03,5.198e+03,4.965e+03,1.351e+04
181.1,4.105e+03,7.201e+03,7.734e+03,1.904e+04
182.6,3.388e+03,7.209e+03,6.721e+03,1.732e+04
184.1,4.949e+03,1.196e+04,1.150e+04,2.841e+04
185.6,4.323e+03,1.112e+04,1.030e+04,2.575e+04
187.1,3.543e+03,9.221e+03,7.931e+03,2.070e+04
188.6,3.363e+03,9.675e+03,8.369e+03,2.141e+04
190.1,3.287e+03,9.673e+03,8.827e+03,2.179e+04
191.5,2.714e+03,1.214e+04,8.012e+03,2.287e+04
193.0,3.407e+03,1.915e+04,1.526e+04,3.782e+04
194.5,4.654e+03,2.807e+04,2.435e+04,5.708e+04
196.0,2.969e+03,2.198e+04,1.575e+04,4.070e+04
197.5,4.059e+03,2.888e+04,2.306e+04,5.600e+04
199.0,3.630e+03,2.895e+04,2.241e+04,5.499e+04
200.5,3.054e+03,2.585e+04,1.817e+04,4.708e+04
201.9,3.053e+03,2.765e+04,1.811e+04,4.882e+04
