freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.972e+01,3.952e+03,2.179e+02,4.200e+03
1.5,3.696e+01,2.540e+04,1.396e+02,2.558e+04
3.0,2.130e+01,8.370e+03,1.618e+01,8.407e+03
4.5,2.168e+01,3.249e+03,1.367e+01,3.284e+03
6.0,2.135e+01,2.683e+03,1.410e+01,2.719e+03
7.5,1.973e+01,2.405e+03,1.402e+01,2.439e+03
8.9,2.083e+01,3.364e+03,1.315e+01,3.398e+03
10.4,2.069e+01,4.179e+03,1.289e+01,4.213e+03
11.9,2.287e+01,6.156e+03,1.289e+01,6.192e+03
13.4,3.020e+01,8.838e+03,1.471e+01,8.883e+03
14.9,2.327e+02,1.679e+04,1.624e+01,1.704e+04
16.4,1.801e+03,2.318e+04,1.754e+01,2.500e+04
17.9,2.296e+03,1.096e+04,2.143e+01,1.328e+04
19.4,5.387e+02,4.018e+03,2.179e+01,4.579e+03
20.9,1.177e+02,6.159e+03,3.150e+01,6.308e+03
22.4,7.590e+01,1.037e+04,4.749e+01,1.050e+04
23.8,7.368e+01,1.505e+04,7.305e+01,1.520e+04
25.3,1.229e+02,2.198e+04,1.211e+02,2.222e+04
26.8,2.380e+02,3.030e+04,1.776e+02,3.071e+04
28.3,3.603e+02,4.511e+04,4.036e+02,4.588e+04
29.8,5.035e+02,6.564e+04,8.809e+02,6.702e+04
31.3,8.111e+02,1.030e+05,2.255e+03,1.061e+05
32.8,1.230e+03,1.594e+05,5.820e+03,1.664e+05
34.3,2.131e+03,2.931e+05,2.128e+04,3.165e+05
35.8,3.583e+03,4.591e+05,6.271e+04,5.254e+05
37.3,8.414e+03,6.634e+05,1.344e+05,8.062e+05
38.7,1.243e+04,7.942e+05,2.135e+05,1.020e+06
40.2,1.574e+04,8.298e+05,3.081e+05,1.154e+06
41.7,1.738e+04,6.352e+05,3.401e+05,9.927e+05
43.2,2.028e+04,4.534e+05,3.885e+05,8.622e+05
44.7,3.493e+04,3.269e+05,4.503e+05,8.121e+05
46.2,8.755e+04,2.949e+05,5.525e+05,9.349e+05
47.7,1.451e+05,2.911e+05,5.321e+05,9.684e+05
49.2,1.504e+05,2.475e+05,5.063e+05,9.043e+05
50.7,8.513e+04,1.713e+05,4.469e+05,7.033e+05
52.2,6.103e+04,1.212e+05,4.167e+05,5.989e+05
53.6,5.607e+04,8.751e+04,3.681e+05,5.117e+05
55.1,5.425e+04,6.309e+04,3.344e+05,4.517e+05
56.6,4.277e+04,4.233e+04,2.643e+05,3.494e+05
58.1,3.073e+04,3.067e+04,2.185e+05,2.799e+05
59.6,2.342e+04,2.664e+04,1.783e+05,2.284e+05
61.1,2.132e+04,2.182e+04,1.447e+05,1.878e+05
62.6,2.032e+04,1.897e+04,1.185e+05,1.578e+05
64.1,1.832e+04,1.888e+04,9.974e+04,1.369e+05
65.6,1.625e+04,2.068e+04,8.463e+04,1.216e+05
67.1,1.681e+04,2.091e+04,7.066e+04,1.084e+05
68.6,1.569e+04,2.184e+04,6.163e+04,9.916e+04
70.0,1.418e+04,2.350e+04,5.469e+04,9.238e+04
71.5,1.430e+04,2.859e+04,5.359e+04,9.648e+04
73.0,1.432e+04,3.182e+04,5.230e+04,9.843e+04
74.5,1.341e+04,3.304e+04,5.182e+04,9.827e+04
76.0,1.247e+04,3.607e+04,5.082e+04,9.937e+04
77.5,1.108e+04,3.789e+04,4.892e+04,9.789e+04
79.0,1.032e+04,4.174e+04,5.063e+04,1.027e+05
80.5,1.171e+04,4.435e+04,5.213e+04,1.082e+05
82.0,1.043e+04,4.419e+04,5.486e+04,1.095e+05
83.5,7.173e+03,4.736e+04,6.287e+04,1.174e+05
84.9,4.813e+03,5.548e+04,7.363e+04,1.339e+05
86.4,5.019e+03,6.358e+04,8.804e+04,1.566e+05
87.9,6.370e+03,7.677e+04,1.040e+05,1.872e+05
89.4,7.126e+03,9.620e+04,1.281e+05,2.314e+05
90.9,9.426e+03,1.103e+05,1.537e+05,2.735e+05
92.4,8.924e+03,1.046e+05,1.587e+05,2.722e+05
93.9,7.129e+03,9.463e+04,1.470e+05,2.488e+05
95.4,5.863e+03,7.833e+04,1.112e+05,1.954e+05
96.9,4.415e+03,6.596e+04,7.852e+04,1.489e+05
98.4,3.262e+03,4.800e+04,5.092e+04,1.022e+05
