freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.289e+03,7.569e+01,4.958e+01,4.414e+03
1.5,2.597e+04,7.455e+01,5.323e+01,2.610e+04
3.0,8.468e+03,2.291e+01,3.055e+01,8.522e+03
4.4,3.168e+03,1.887e+01,2.752e+01,3.214e+03
5.9,2.451e+03,1.931e+01,2.875e+01,2.499e+03
7.4,2.170e+03,1.668e+01,3.078e+01,2.218e+03
8.9,2.750e+03,1.790e+01,2.870e+01,2.797e+03
10.4,3.386e+03,1.945e+01,3.043e+01,3.436e+03
11.9,4.384e+03,1.823e+01,2.913e+01,4.431e+03
13.3,5.544e+03,1.785e+01,3.139e+01,5.593e+03
14.8,7.036e+03,2.316e+01,3.660e+01,7.096e+03
16.3,9.001e+03,3.791e+01,3.799e+01,9.077e+03
17.8,1.115e+04,3.901e+01,4.136e+01,1.123e+04
19.3,1.103e+04,4.099e+01,4.688e+01,1.112e+04
20.8,1.170e+04,5.364e+01,5.368e+01,1.181e+04
22.2,1.553e+04,6.943e+01,7.198e+01,1.567e+04
23.7,1.856e+04,8.485e+01,8.530e+01,1.873e+04
25.2,2.337e+04,1.304e+02,9.697e+01,2.360e+04
26.7,2.945e+04,1.668e+02,1.192e+02,2.973e+04
28.2,3.684e+04,2.057e+02,1.675e+02,3.722e+04
29.7,4.437e+04,2.849e+02,2.098e+02,4.487e+04
31.1,5.485e+04,4.360e+02,2.562e+02,5.554e+04
32.6,6.830e+04,6.447e+02,3.628e+02,6.930e+04
34.1,8.420e+04,9.196e+02,4.904e+02,8.561e+04
35.6,1.047e+05,1.157e+03,6.298e+02,1.065e+05
37.1,1.323e+05,1.545e+03,8.578e+02,1.347e+05
38.6,1.680e+05,2.243e+03,1.188e+03,1.714e+05
40.0,2.106e+05,3.279e+03,1.586e+03,2.155e+05
41.5,2.749e+05,5.340e+03,1.945e+03,2.822e+05
43.0,3.479e+05,8.830e+03,2.209e+03,3.589e+05
44.5,4.676e+05,1.427e+04,2.825e+03,4.847e+05
46.0,6.378e+05,1.748e+04,5.792e+03,6.611e+05
47.4,9.391e+05,1.518e+04,1.323e+04,9.676e+05
48.9,1.429e+06,2.250e+04,1.948e+04,1.471e+06
50.4,1.934e+06,3.372e+04,2.645e+04,1.994e+06
51.9,2.278e+06,4.226e+04,3.281e+04,2.353e+06
53.4,2.360e+06,4.877e+04,3.449e+04,2.443e+06
54.9,2.269e+06,5.331e+04,3.851e+04,2.361e+06
56.3,2.148e+06,5.351e+04,4.604e+04,2.248e+06
57.8,1.897e+06,5.056e+04,5.066e+04,1.998e+06
