freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.697e+03,8.417e+01,6.102e+01,4.842e+03
1.4,2.740e+04,8.767e+01,7.534e+01,2.756e+04
2.9,8.914e+03,3.041e+01,5.299e+01,8.998e+03
4.3,3.348e+03,2.649e+01,5.924e+01,3.433e+03
5.7,2.518e+03,2.801e+01,6.273e+01,2.609e+03
7.2,2.174e+03,2.672e+01,5.884e+01,2.260e+03
8.6,2.680e+03,2.294e+01,5.635e+01,2.759e+03
10.1,3.383e+03,2.367e+01,5.962e+01,3.466e+03
11.5,4.231e+03,2.272e+01,4.999e+01,4.304e+03
12.9,5.324e+03,2.122e+01,4.867e+01,5.394e+03
14.4,6.784e+03,2.608e+01,4.800e+01,6.858e+03
15.8,8.917e+03,3.911e+01,6.022e+01,9.016e+03
17.2,1.090e+04,4.602e+01,6.660e+01,1.102e+04
18.7,1.220e+04,3.530e+01,6.387e+01,1.229e+04
20.1,1.394e+04,3.466e+01,6.409e+01,1.404e+04
21.5,1.638e+04,4.905e+01,8.170e+01,1.651e+04
23.0,1.908e+04,5.871e+01,9.007e+01,1.923e+04
24.4,2.404e+04,5.351e+01,1.150e+02,2.421e+04
25.9,2.980e+04,7.041e+01,1.380e+02,3.001e+04
27.3,3.674e+04,1.265e+02,1.674e+02,3.703e+04
28.7,4.732e+04,1.692e+02,2.153e+02,4.770e+04
30.2,5.959e+04,2.053e+02,3.242e+02,6.011e+04
31.6,7.499e+04,2.131e+02,6.437e+02,7.585e+04
33.0,9.613e+04,2.388e+02,1.097e+03,9.747e+04
34.5,1.234e+05,2.172e+02,1.704e+03,1.253e+05
35.9,1.786e+05,1.579e+02,3.289e+03,1.820e+05
37.3,2.426e+05,1.889e+02,5.553e+03,2.484e+05
38.8,3.344e+05,4.705e+02,9.209e+03,3.441e+05
40.2,4.736e+05,1.621e+03,1.637e+04,4.916e+05
41.7,6.976e+05,5.850e+03,3.086e+04,7.343e+05
43.1,1.037e+06,1.960e+04,5.025e+04,1.106e+06
44.5,1.427e+06,4.744e+04,4.592e+04,1.520e+06
46.0,2.027e+06,8.068e+04,2.478e+04,2.133e+06
47.4,2.590e+06,1.056e+05,1.654e+04,2.713e+06
48.8,2.519e+06,1.022e+05,9.796e+03,2.631e+06
50.3,1.993e+06,8.670e+04,5.746e+03,2.085e+06
51.7,1.434e+06,7.124e+04,3.728e+03,1.509e+06
53.2,9.827e+05,5.420e+04,3.353e+03,1.040e+06
54.6,6.802e+05,4.308e+04,3.372e+03,7.267e+05
56.0,5.319e+05,3.911e+04,3.125e+03,5.741e+05
57.5,4.546e+05,3.907e+04,2.830e+03,4.965e+05
58.9,4.149e+05,4.126e+04,2.310e+03,4.585e+05
