freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.242e+01,4.382e+03,2.569e+02,4.652e+03
1.4,3.126e+01,2.763e+04,1.620e+02,2.782e+04
2.9,2.395e+01,9.153e+03,2.037e+01,9.197e+03
4.3,2.061e+01,3.389e+03,1.997e+01,3.430e+03
5.7,2.120e+01,2.852e+03,2.272e+01,2.896e+03
7.2,2.097e+01,2.264e+03,2.258e+01,2.307e+03
8.6,2.200e+01,3.267e+03,1.959e+01,3.309e+03
10.0,2.297e+01,3.656e+03,2.492e+01,3.704e+03
11.5,2.217e+01,4.495e+03,2.294e+01,4.540e+03
12.9,2.261e+01,6.394e+03,2.743e+01,6.444e+03
14.3,3.085e+01,8.624e+03,3.292e+01,8.688e+03
15.8,5.382e+01,1.114e+04,3.694e+01,1.123e+04
17.2,5.739e+01,8.142e+03,3.294e+01,8.232e+03
18.6,6.023e+01,9.061e+03,3.478e+01,9.156e+03
20.1,5.558e+01,1.263e+04,4.586e+01,1.273e+04
21.5,6.108e+01,1.673e+04,6.865e+01,1.686e+04
22.9,4.969e+01,2.305e+04,1.325e+02,2.324e+04
24.4,4.275e+01,3.223e+04,2.443e+02,3.251e+04
25.8,5.871e+01,4.514e+04,4.493e+02,4.565e+04
27.3,8.300e+01,6.335e+04,8.075e+02,6.424e+04
28.7,1.084e+02,8.595e+04,1.524e+03,8.759e+04
30.1,1.368e+02,1.160e+05,2.557e+03,1.187e+05
31.6,2.134e+02,1.648e+05,4.534e+03,1.696e+05
33.0,2.897e+02,2.680e+05,1.203e+04,2.804e+05
34.4,6.058e+02,5.170e+05,4.502e+04,5.627e+05
35.9,9.741e+02,9.962e+05,1.288e+05,1.126e+06
37.3,1.405e+03,1.406e+06,2.471e+05,1.654e+06
38.7,2.660e+03,1.354e+06,3.461e+05,1.702e+06
40.2,5.098e+03,1.024e+06,3.981e+05,1.427e+06
41.6,7.288e+03,7.234e+05,4.334e+05,1.164e+06
43.0,1.037e+04,4.986e+05,4.792e+05,9.882e+05
