freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.498e+03,8.881e+01,5.612e+01,4.643e+03
1.5,2.625e+04,6.983e+01,4.515e+01,2.636e+04
3.0,8.446e+03,1.628e+01,1.699e+01,8.480e+03
4.5,3.208e+03,1.418e+01,1.698e+01,3.239e+03
5.9,2.485e+03,1.455e+01,1.926e+01,2.518e+03
7.4,2.277e+03,1.521e+01,2.008e+01,2.313e+03
8.9,2.903e+03,1.404e+01,1.911e+01,2.936e+03
10.4,3.639e+03,1.392e+01,1.961e+01,3.672e+03
11.9,4.801e+03,1.723e+01,1.894e+01,4.837e+03
13.4,6.286e+03,2.462e+01,2.136e+01,6.332e+03
14.8,9.110e+03,4.801e+01,2.277e+01,9.181e+03
16.3,1.382e+04,7.612e+01,3.083e+01,1.393e+04
17.8,1.198e+04,7.773e+01,3.290e+01,1.209e+04
19.3,6.640e+03,4.997e+01,3.250e+01,6.722e+03
20.8,9.142e+03,5.488e+01,4.403e+01,9.241e+03
22.3,1.313e+04,8.078e+01,5.291e+01,1.326e+04
23.8,1.749e+04,1.267e+02,6.474e+01,1.768e+04
25.2,2.298e+04,2.088e+02,8.288e+01,2.327e+04
26.7,2.808e+04,3.309e+02,9.538e+01,2.850e+04
28.2,3.554e+04,5.141e+02,1.174e+02,3.617e+04
29.7,4.473e+04,7.539e+02,1.623e+02,4.565e+04
31.2,5.603e+04,9.939e+02,2.289e+02,5.725e+04
32.7,6.636e+04,1.145e+03,3.137e+02,6.782e+04
34.1,8.999e+04,1.634e+03,4.860e+02,9.211e+04
35.6,1.157e+05,2.612e+03,5.696e+02,1.189e+05
37.1,1.512e+05,4.660e+03,5.775e+02,1.565e+05
38.6,2.005e+05,8.261e+03,5.687e+02,2.093e+05
40.1,2.642e+05,1.513e+04,5.111e+02,2.798e+05
41.6,3.654e+05,3.089e+04,7.407e+02,3.970e+05
43.1,4.954e+05,5.603e+04,3.301e+03,5.548e+05
44.5,7.141e+05,8.476e+04,1.121e+04,8.101e+05
46.0,1.045e+06,9.192e+04,2.210e+04,1.159e+06
47.5,1.653e+06,8.759e+04,3.329e+04,1.773e+06
49.0,1.974e+06,9.045e+04,4.042e+04,2.105e+06
50.5,1.673e+06,7.776e+04,4.496e+04,1.796e+06
52.0,1.101e+06,4.876e+04,4.316e+04,1.193e+06
53.4,7.728e+05,3.261e+04,3.662e+04,8.421e+05
54.9,6.171e+05,2.622e+04,3.257e+04,6.759e+05
56.4,5.666e+05,2.668e+04,3.495e+04,6.283e+05
57.9,6.368e+05,3.735e+04,4.292e+04,7.170e+05
59.4,7.386e+05,5.219e+04,5.068e+04,8.415e+05
60.9,7.636e+05,6.101e+04,5.144e+04,8.760e+05
62.4,7.182e+05,6.187e+04,4.704e+04,8.271e+05
63.8,6.334e+05,6.051e+04,4.264e+04,7.365e+05
65.3,5.299e+05,5.755e+04,3.932e+04,6.268e+05
66.8,4.612e+05,5.774e+04,3.855e+04,5.575e+05
68.3,3.921e+05,5.843e+04,3.862e+04,4.892e+05
69.8,3.501e+05,6.299e+04,4.087e+04,4.539e+05
71.3,3.107e+05,6.803e+04,4.293e+04,4.216e+05
72.7,2.831e+05,7.533e+04,4.624e+04,4.046e+05
74.2,2.657e+05,8.647e+04,5.138e+04,4.035e+05
75.7,2.522e+05,9.905e+04,5.680e+04,4.081e+05
77.2,2.435e+05,1.154e+05,6.384e+04,4.227e+05
78.7,2.324e+05,1.357e+05,7.170e+04,4.398e+05
80.2,2.315e+05,1.604e+05,7.777e+04,4.697e+05
81.7,2.204e+05,1.790e+05,7.899e+04,4.784e+05
83.1,2.164e+05,2.040e+05,8.342e+04,5.038e+05
84.6,2.011e+05,2.259e+05,8.588e+04,5.129e+05
86.1,1.927e+05,2.563e+05,9.007e+04,5.391e+05
87.6,1.726e+05,2.652e+05,8.432e+04,5.221e+05
89.1,1.516e+05,2.667e+05,8.208e+04,5.003e+05
90.6,1.508e+05,2.905e+05,9.130e+04,5.326e+05
92.0,1.760e+05,3.262e+05,9.920e+04,6.014e+05
93.5,1.906e+05,3.189e+05,8.853e+04,5.980e+05
95.0,1.902e+05,2.763e+05,7.036e+04,5.369e+05
96.5,1.958e+05,2.318e+05,5.160e+04,4.792e+05
98.0,1.952e+05,1.886e+05,3.199e+04,4.157e+05
99.5,2.013e+05,1.572e+05,2.087e+04,3.793e+05
100.9,2.048e+05,1.318e+05,1.707e+04,3.537e+05
102.4,2.229e+05,1.196e+05,2.083e+04,3.633e+05
103.9,2.283e+05,1.049e+05,3.225e+04,3.654e+05
105.4,2.431e+05,9.623e+04,4.955e+04,3.889e+05
106.9,2.519e+05,8.458e+04,6.663e+04,4.031e+05
108.4,2.735e+05,8.048e+04,8.664e+04,4.406e+05
109.9,2.880e+05,7.535e+04,1.063e+05,4.696e+05
111.3,2.996e+05,7.215e+04,1.247e+05,4.965e+05
112.8,3.228e+05,7.024e+04,1.489e+05,5.419e+05
114.3,3.349e+05,6.809e+04,1.706e+05,5.736e+05
